,Unnamed: 0,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
323,323,5001400,22996552423,249252681,1,114,3101,C2,31,7930824.0,0.8307306428,0.8307306428,0.8591631041,0.0,0.3296139417,1.0,0.478318065,0.478318065,0.5913023372999999,0.5741201457,23246377544.35085,941412.1282731692
324,324,5001400,477488962,24431172,17,114,617,C2,6,2584918.5,0.770598585,0.770598585,0.7954621851000001,0.0,0.2528798503,1.0,0.5108645247,0.5108645247,0.5232490596,0.5028716042,493375028.3946576,156580.0406054151
325,325,5001400,17710962233,191335184,11,114,3711,C2,37,2120784.5,0.819000134,0.819000134,0.8900076387,0.0,0.23182693079999997,1.0,0.2674897323,0.2674897323,0.7385092626,0.48148409200000003,17900921631.370758,985055.4651798605
326,326,5001400,3917848951,979157081,18,114,1218,C2,12,2244493.5,0.8104956774,0.8104956774,0.8162745728,0.0,0.4537589079,1.0,0.462043088,0.462043088,0.6174229556,0.6736162913,4387512868.788101,348579.2664911157
327,327,5001400,40633375850,8411271,3,114,403,C2,4,2295347.0,0.7476825131999999,0.7476825131999999,0.7501230906999999,0.0,0.26188689670000004,1.0,0.2754900084,0.2754900084,0.5058198107,0.511748861,40639908468.711006,1396446.8407897216
328,328,5001400,11125102078,119861708,6,114,2106,C2,21,0.0,0.7596234276999999,0.7596234276999999,0.7596233174,0.0,0.17535453620000002,1.0,0.48728287049999996,0.48728287049999996,0.4846406817,0.4187535507,11245385326.079714,897704.9090647621
329,329,5001400,14227676034,414257294,1,114,3701,C2,37,19445228.5,0.49891761729999995,0.4938868379,0.5026641814,0.0,0.0399449242,2.0,0.35776175619999995,0.2953779034,0.41004574229999996,0.1998622631,14462628114.074947,2133033.816966315
330,330,5001400,686614096,58509767,5,114,2505,C2,25,4513825.5,0.6166929511,0.6166929511,0.6236155627000001,0.0,0.17023106059999998,1.0,0.3177580077,0.3177580077,0.32591843649999996,0.4125906695,722008266.3594614,230864.21180755962
331,331,5001400,72280157559,12449248665,8,114,2708,C2,27,2592302.5,0.7548342889,0.7548667134,0.9366987789,0.0,0.31062877780000003,5.0,0.45441892170000003,0.454439876,0.8621559064000001,0.5573408094,78122303172.54903,1777753.7660327174
332,332,5001400,50651765020,3222708814,1,114,4901,C2,49,2138128.0,0.6754084954,0.6754084954,0.7680168195,0.0,0.2946444421,1.0,0.2714399457,0.2714399457,0.41271838619999995,0.5428116083,53870387079.20269,1515761.435516717
333,333,5001400,5906372694,87134848,13,114,3713,C2,37,0.0,0.5393948805,0.5393948805,0.5393918488,0.0,0.0623809083,1.0,0.3779594511,0.3779594511,0.3769656693,0.2497617029,5993706477.917258,1098820.6706695769
334,334,5001400,447767785,483588289,22,114,1222,C2,12,2869885.0,0.4500215672,0.4500215672,0.45798113869999996,0.0,0.0746689576,1.0,0.09978811289999999,0.09978811289999999,0.1564106626,0.2732562124,479568667.49934435,284092.8398724686
335,335,5001400,15335041906,91792231,21,114,4821,C2,48,0.0,0.7735079670999999,0.7735079670999999,0.7735059462999999,0.0,0.1960927603,1.0,0.35801445439999996,0.35801445439999996,0.3580168936,0.4428236222,15426969602.001337,994293.1876856759
336,336,5001400,238367009,1621911,29,114,629,C2,6,0.0,0.689268643,0.689268643,0.6892606725,0.0,0.22043828699999998,1.0,0.4006172746,0.4006172746,0.40062047380000004,0.46950855909999994,239948787.17157945,116955.5128819223
337,337,5001400,15313284807,201938200,36,114,636,C2,6,2912230.5,0.9394695485,0.9394695485,0.9496832970999999,0.0,0.3747092386,1.0,0.3234137864,0.3234137864,0.3241537693,0.6121349839,15515168698.157532,721333.3016107052
